¿Cuál es tu principal habilidad?, ser feliz
¿Practicas algún deporte?, Si
¿Cuál es tu favorito?, atletismo
¿Cómo sería tu habitación perfecta?, no se
¿Qué harías con el tiempo extra?, divertirme
¿En qué trabajo serias terrible?, atendiendo publico
¿Cuál es tu prenda de vestir preferida?, jeans
¿Tienes algún hobby?, Si
¿Cuál es?, Atletismo
¿A dónde irías?, a cualquier lugar
¿Cuándo fue la última vez que subiste a un árbol?, hace menos de un año
¿Qué don te gustaría tener?, magia
¿Cuál es tu bebida favorita?, agua
¿Cuál es el hábito más molesto que tienen las personas?, mentir
¿En qué actividad ganarías una medalla?, durmiendo
¿Cuál es la aventura más increíble que has tenido?, cuando fui a canada
¿Cuál es tu bebida favorita?, agua
¿A qué estado o país jamás te gustaría volver?, No me ha pasado aun.
¿Cómo sería la casa terminada?, hermosa
¿Cuál es tu canción favorita?, A million light years away from you
¿Qué mascotas tuviste durante tu infancia?, perros y gatos
¿Cuál ha sido tu mayor logro?, ser feliz
¿Eres puntual o impuntual?, impuntual
